,biological,technical,unenriched,probe,sample_type,sample_type2,sample_name,path
Neg1rep1,1,1,FALSE,FALSE,neg,probe,neg1,data/Neg1rep1/DTASelect-filter.txt
Neg1rep2,1,2,FALSE,FALSE,neg,probe,neg1,data/Neg1rep2/DTASelect-filter.txt
Neg1rep3,1,3,FALSE,FALSE,neg,probe,neg1,data/Neg1rep3/DTASelect-filter.txt
Nov_unenriched1rep1,1,1,TRUE,FALSE,unenriched,unenriched,unenriched1,data/Nov_unenriched1rep1/DTASelect-filter.txt
Nov_unenriched1rep2,1,2,TRUE,FALSE,unenriched,unenriched,unenriched1,data/Nov_unenriched1rep2/DTASelect-filter.txt
Nov_unenriched1rep3,1,3,TRUE,FALSE,unenriched,unenriched,unenriched1,data/Nov_unenriched1rep3/DTASelect-filter.txt
Nov_unenriched2rep1,2,1,TRUE,FALSE,unenriched,unenriched,unenriched2,data/Nov_unenriched2rep1/DTASelect-filter.txt
Nov_unenriched2rep2,2,2,TRUE,FALSE,unenriched,unenriched,unenriched2,data/Nov_unenriched2rep2/DTASelect-filter.txt
Nov_unenriched2rep3,2,3,TRUE,FALSE,unenriched,unenriched,unenriched2,data/Nov_unenriched2rep3/DTASelect-filter.txt
Nov_unenriched3rep1,3,1,TRUE,FALSE,unenriched,unenriched,unenriched3,data/Nov_unenriched3rep1/DTASelect-filter.txt
Nov_unenriched3rep2,3,2,TRUE,FALSE,unenriched,unenriched,unenriched3,data/Nov_unenriched3rep2/DTASelect-filter.txt
Nov_unenriched3rep3,3,3,TRUE,FALSE,unenriched,unenriched,unenriched3,data/Nov_unenriched3rep3/DTASelect-filter.txt
Nov_VK1rep1,1,1,FALSE,TRUE,probe,probe,vk1,data/Nov_VK1rep1/DTASelect-filter.txt
Nov_VK1rep2,1,2,FALSE,TRUE,probe,probe,vk1,data/Nov_VK1rep2/DTASelect-filter.txt
Nov_VK1rep3,1,3,FALSE,TRUE,probe,probe,vk1,data/Nov_VK1rep3/DTASelect-filter.txt
Nov_VK3rep1,2,1,FALSE,TRUE,probe,probe,vk2,data/Nov_VK3rep1/DTASelect-filter.txt
Nov_VK3rep2,2,2,FALSE,TRUE,probe,probe,vk2,data/Nov_VK3rep2/DTASelect-filter.txt
Nov_VK3rep3,2,3,FALSE,TRUE,probe,probe,vk2,data/Nov_VK3rep3/DTASelect-filter.txt
Nov_VK5rep1,3,1,FALSE,TRUE,probe,probe,vk3,data/Nov_VK5rep1/DTASelect-filter.txt
Nov_VK5rep2,3,2,FALSE,TRUE,probe,probe,vk3,data/Nov_VK5rep2/DTASelect-filter.txt
Nov_VK5rep3,3,3,FALSE,TRUE,probe,probe,vk3,data/Nov_VK5rep3/DTASelect-filter.txt
